Song,Tommy,Kue,Saph
Readymade,7,9.1,10
Odo,8.5,9.8,10
Domestic De Violence,7,7.99,9
Freedom,7,9.56,9.8
Fireworks,7,9.3,9.5
Aitakute,7,9.9,9.5
Lucky Bruto,5,8.6,10
Gira Gira,8,9.7,10
Asura-chan,8,9.85,10
KokoroToluNanoFukakai,8,9.9,9.5
Usseewa,7.5,9.71,10
Motherland,7,9.45,9.8
Kagakashu,7.9,9.6,9
Yoru No Pierrot,7,9,9.8
