Song,"DownbadJailbird","RC","Schyph","Kue"
Tears of the Moon,"9.8",5.5,7,6.7
Touch the hurt again,"9",5.4,7.5,4.2
Fujun Mujun,8.6,7.2,3,8.3
Kimini Niratakatta,6,9.2,8.8,6.8
astro,5,3,6.5,7.3
Love Dong Ha Iranai,8,2.5,4,5.2
Dear Youthful Days,7.8,7,7.25,4.9
Natsuwo Yurusenai,9,5,6.5,2.7
Utakata,9.9,3.8,4.5,2.8
I am alone,10,2.4,4,5.8
Trail of Shine,10,9,8.8,5.6
Southern Cross,9.6,5,5,6.6
