Song,"ert",Om2510
Lip-Sync,"5",6.5
Sweet Appetite,"6",6
Leech,"6.5",8.5
Pet,"7.5",8
Bibibi,"6",6.5
Mosh Race,"6",6.5
Dream Shower,"6.5",8
Baby Don't Stop,"8.5",8.5
End Role,"9",9.5
Planetarium,"9.5",8.5
